////////////////////////////////////////////////////////////////////////////////
//	[ Text  Version ]	0.0.7.8
//	[ 최종 작업자 ]	사재일
//	[ 최종 작업일 ]	2015-08-11-04:53 PM
//	[ 작 업 내 용 ]	대천사의무기 버프 스킬 추가
////////////////////////////////////////////////////////////////////////////////
//버프. 디버프에 상관없이 추가시 제일 뒤에 순차적으로 추가
// 인벤 장착 아이템 관련 부분은 서버와 클라이언트가 다르게 적용되고 있으며
// 클라이언트 용은 인벤장착 아이템부분 주석 처리, 서버용은 인벤장착 아이템 주석 해재 할것


//Index	Viewport index	Item type	Item Index	Name	Type	알림	Clear type	설명	버프값 출력
0	//버프 효과
1	1	255	255	"Tăng sát thương vật lý"	0	1	1	"Tăng sát thương vật lý."	0
2	2	255	255	"Tăng phòng thủ"	0	1	1	"Tăng phòng thủ"	0
3	3	255	255	"Buff đầu làng"	0	1	1	"Tăng sát thương và phòng thủ"	0
4	4	255	255	"Soul Barrier"	0	1	1	"Mana hấp thụ sát thương"	0
5	5	255	255	"Tăng sát thương chí mạng"	0	1	1	"Tăng sát thương chí mạng"	0
6	6	255	255	"Infinity Arrow"	0	0	1	"Không tiêu hao mũi tên"	0
7	7	255	255	"Tăng tốc độ hồi AG"	0	0	1	""	0
8	8	255	255	"Gồng máu"	0	1	1	"Tăng chỉ số HP"	0
9	9	255	255	"Gồng mana"	0	0	1	"Tăng chỉ số Mana"	0
10	10	255	255	"Potion of Blessing"	0	0	1	"Tăng 20% sát thương với cổng,tượng"	0
11	11	255	255	"Potion of Soul"	0	0	1	"Tốc độ hồi AG +8/Tăng khả năng kháng băng và sét/Tốc độ đánh +20"	0
12	12	255	255	"Abolish Magic"	0	0	1	""	0
13	13	255	255	"Gate Open/Close Status"	0	1	1	""	0
14	14	255	255	"Watchtower"	0	1	1	"Quan sát trận chiến."	0
15	14	255	255	"Besiegement Guild1"	0	1	1	"Phe tấn công"	0
16	14	255	255	"Besiegement Guild2"	0	1	1	"Phe tấn công"	0
17	14	255	255	"Besiegement Guild3"	0	1	1	"Phe tấn công"	0
18	15	255	255	"Tàng hình"	0	1	1	"Trong suốt"	0
19	16	255	255	"Dark Rod Battle Skill"	0	0	1	""	0
20	17	255	255	"Crown Registration Status"	0	1	1	""	0
21	18	255	255	"Altar of Wolf contract enabled"	0	1	1	""	0
22	18	255	255	"Altar of Wolf contract disabled"	0	1	1	""	0
23	18	255	255	"Altar of Wolf contract Status"	0	1	1	""	0
24	18	255	255	"Altar of Wolf contract attempt"	0	1	1	""	0
25	18	255	255	"Altar of Wolf besiegement Status"	0	1	1	""	0
26	18	255	255	"Altar of Wolf hero contract Status"	0	1	1	""	0
27	19	255	255	"Cry Wolf NPC transparency"	0	1	1	""	0
28	20	255	255	"GM"	0	1	1	""	0
29	60	13	43	"Seal of Ascension"	2	0	1	"Tăng 50% EXP thường"	0
30	61	13	44	"Seal of Wealth"	2	0	1	"Tăng 100% EXP thường/Tỉ lệ rớt đồ tăng 150%"	0
31	62	13	45	"Seal of Sustenance"	2	0	1	"Không thể tăng EXP"	0
32	22	255	255	"Temple - Spell of Quickness"	0	0	1	""	0
33	22	255	255	"Temple - Spell of Sublimation"	0	0	1	""	0
34	22	255	255	"Spell of Protection"	0	1	1	"Damage absorbed at 100%."	0
35	246	14	46	"[Boost] Jack O'Lantern Blessings"	0	0	1	"Tốc độ đánh +10"	0
36	247	14	47	"[Reinforce] Jack O'Lantern Wrath"	0	0	1	"Sát thương +40"	0
37	247	14	48	"[Reinforce] Jack O'Lantern Cry"	0	0	1	"Phòng thủ +100"	0
38	246	14	49	"[Boost] Jack O'Lantern Food"	0	0	1	"HP +700"	0
39	246	14	50	"[Boost] Jack O'Lantern Drink"	0	0	1	"MP +700"	0
40	60	13	43	"Seal of Ascension"	2	1	1	"Tăng 50% EXP thường"	0
41	61	13	44	"Seal of Wealth"	2	1	1	"Tăng 100% EXP thường/Tỉ lệ rớt đồ tăng 150%"	0
42	65	13	45	"Seal of Sustenance"	2	1	1	"Không thể tăng EXP"	0
43	57	13	59	"Seal of Mobility"	2	1	1	"Mobility enabled"	0
44	67	14	72	"Scroll of Quickness"	2	1	1	"Tốc độ đánh +15"	0
45	68	14	73	"Scroll of Defense"	2	1	1	"Phòng thủ +60"	0
46	69	14	74	"Scroll of Wrath"	2	1	1	"Sát thương vật lý +30"	0
47	70	14	75	"Scroll of Wizardry"	2	1	1	"Sát thương phép/nguyền rủa +30"	0
48	71	14	76	"Scroll of Health"	2	1	1	"HP +200"	0
49	72	14	77	"Scroll of Mana"	2	1	1	"Mana +300"	0
50	26	14	78	"Elixir of Strength"	2	1	1	"STR +200"	0
51	26	14	79	"Elixir of Agility"	2	1	1	"AGI +200"	0
52	26	14	80	"Elixir of Health"	2	1	1	"VIT +200"	0
53	26	14	81	"Elixir of Energy"	2	1	1	"ENE +200"	0
54	26	14	82	"Elixir of Control"	2	1	1	"CMD +200"	0
55	27	255	255	"Poison"	1	1	1	"Nhiễm độc"	0
56	28	255	255	"Ice"	1	1	1	"Giảm tốc độ di chuyển"	0
57	29	255	255	"Iced Arrow"	1	1	1	"Không thể di chuyển"	0
58	30	255	255	"Defensibility reduction"	1	1	1	"Random defensibility decreases at 10%."	0
59	31	255	255	"Attack power reduction"	1	0	1	""	0
60	32	255	255	"Wizardry increase reduction"	1	0	1	""	0
61	33	255	255	"Stun"	1	1	1	"Mobility disabled"	0
62	34	255	255	"Phòng thủ phép thuật"	1	0	1	""	0
63	35	255	255	"Monster Magic Attack Resistance"	1	1	1	""	0
64	36	255	255	"Monster Chemistry Attack Resistance"	1	1	1	""	0
65	37	255	255	"Spell of Restriction"	1	1	1	"Mobility disabled"	0
66	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
67	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
68	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
69	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
70	38	255	255	"Cry Wolf Divine Protection Status"	0	1	1	"Cry Wolf Divine Protection Status"	0
71	39	255	255	"Damage Reflection"	0	1	1	"Phản một phần sát thương"	0
72	40	255	255	"Sleep"	1	1	1	"Ngủ một giấc ngắn"	0
